arm,prompt_id,rep,ttfa_s,ttft_s,tts_handoff_s,tts_ttfb_s,total_s,passed,error,answer_text,prompt_tokens,completion_tokens,sdk_ttft_s,sdk_tts_ttfb_s
inception-mercury-2,capital_france,1,0.7,0.2985,0.0014,0.3993,0.3,True,,The capital of France is **Paris**.,9,42,0.2984,0.1984
anthropic-claude-haiku-4-5,capital_france,1,1.0621,0.6659,0.0008,0.3949,0.6794,True,,The capital of France is Paris.,14,14,0.6658,0.1725
inception-mercury-2,capital_japan,1,0.418,0.216,0.0016,0.199,0.2174,True,,The capital of Japan is **Tokyo**.,9,37,0.2158,0.1982
anthropic-claude-haiku-4-5,capital_japan,1,1.0434,0.5812,0.0008,0.4608,0.8354,True,,The capital of Japan is Tokyo. It's the country's largest city and has been the capital since 1868.,14,31,0.5811,0.2029
inception-mercury-2,cm_in_2m,1,0.6233,0.3573,0.0012,0.2641,0.3591,True,,There are **200 centimeters** in two meters.,10,44,0.3572,0.2612
anthropic-claude-haiku-4-5,cm_in_2m,1,1.2176,0.5435,0.3118,0.3617,1.0366,True,,"There are 200 centimeters in two meters. Since 1 meter = 100 centimeters, then 2 meters = 2 × 100 = 200 centimeters.",17,51,0.5435,0.1804
inception-mercury-2,add_17_26,1,0.6207,0.4202,0.0011,0.198,0.4221,True,,Seventeen plus twenty‑six equals **43**.,8,36,0.4202,0.1962
anthropic-claude-haiku-4-5,add_17_26,1,1.066,0.625,0.0006,0.4391,0.6405,True,,17 + 26 = 43,14,17,0.6249,0.4154
inception-mercury-2,minutes_in_3h,1,0.7824,0.5645,0.0014,0.2153,0.5667,True,,There are **180 minutes** in three hours.,10,43,0.5644,0.2125
anthropic-claude-haiku-4-5,minutes_in_3h,1,1.0019,0.6022,0.2003,0.1981,0.8036,True,,There are 180 minutes in three hours. (3 hours × 60 minutes/hour = 180 minutes),15,32,0.6029,0.1885
inception-mercury-2,day_after_monday_3,1,0.5289,0.3382,0.002,0.1873,0.3411,True,,Three days after Monday is **Thursday**.,13,42,0.3382,0.1861
anthropic-claude-haiku-4-5,day_after_monday_3,1,1.1597,0.616,0.3676,0.1748,0.9845,True,,"If today is Monday, then in three days it will be **Thursday**. Monday → Tuesday (1 day) → Wednesday (2 days) → Thursday (3 days)",20,42,0.616,0.1739
inception-mercury-2,percent_15_of_200,1,0.4965,0.3108,0.0013,0.1838,0.3117,True,,Fifteen percent of two hundred is **30**.,9,49,0.3108,0.1816
anthropic-claude-haiku-4-5,percent_15_of_200,1,0.9923,0.6326,0.0006,0.3584,0.7957,True,,15% of 200 is **30**. (200 × 0.15 = 30),15,32,0.6326,0.1954
inception-mercury-2,leap_february,1,0.4464,0.2716,0.0006,0.1728,0.2731,True,,"In a leap year, February has **29 days**.",11,49,0.2714,0.1707
anthropic-claude-haiku-4-5,leap_february,1,0.9257,0.5754,0.1522,0.1965,0.7288,True,,There are 29 days in February in a leap year.,18,17,0.5753,0.1958
inception-mercury-2,capital_france,2,0.5323,0.3485,0.0009,0.1686,0.3632,True,,The capital of France is Paris.,9,47,0.3485,0.1674
anthropic-claude-haiku-4-5,capital_france,2,0.9444,0.6039,0.0006,0.3356,0.651,True,,The capital of France is Paris.,14,14,0.6032,0.1982
inception-mercury-2,capital_japan,2,0.4871,0.2856,0.0009,0.1989,0.2878,True,,The capital of Japan is **Tokyo**.,8,37,0.2855,0.1978
anthropic-claude-haiku-4-5,capital_japan,2,0.8332,0.5429,0.0655,0.223,0.6097,True,,Tokyo is the capital of Japan.,14,11,0.5428,0.2133
inception-mercury-2,cm_in_2m,2,0.5118,0.2905,0.0023,0.2176,0.2925,True,,There are **200 centimeters** in two meters.,11,45,0.2902,0.2158
anthropic-claude-haiku-4-5,cm_in_2m,2,1.1942,0.5937,0.3066,0.2933,1.0172,True,,"There are 200 centimeters in two meters. (1 meter = 100 centimeters, so 2 meters = 2 × 100 = 200 centimeters)",17,50,0.5937,0.1758
inception-mercury-2,add_17_26,2,0.7522,0.357,0.0011,0.3935,0.3581,True,,Seventeen plus twenty‑six equals **43**.,8,37,0.3572,0.3922
anthropic-claude-haiku-4-5,add_17_26,2,0.9677,0.6375,0.0527,0.2761,0.6915,True,,17 + 26 = 43,14,14,0.639,0.2665
inception-mercury-2,minutes_in_3h,2,0.5081,0.2888,0.0007,0.2166,0.2938,True,,There are 180 minutes in three hours.,12,42,0.2885,0.213
anthropic-claude-haiku-4-5,minutes_in_3h,2,1.1895,0.6488,0.0017,0.5377,1.0131,True,,There are **180 minutes** in three hours. (3 hours × 60 minutes per hour = 180 minutes),15,33,0.6487,0.175
inception-mercury-2,day_after_monday_3,2,0.5192,0.3482,0.0009,0.1695,0.3492,True,,Three days after Monday is **Thursday**.,13,46,0.3483,0.1682
anthropic-claude-haiku-4-5,day_after_monday_3,2,1.0961,0.5993,0.3091,0.1865,0.9095,True,,"If today is Monday, then in three days it will be **Thursday**. Monday → Tuesday (1 day) → Wednesday (2 days) → Thursday (3 days)",20,42,0.5992,0.1692
inception-mercury-2,percent_15_of_200,2,0.5306,0.3568,0.001,0.1721,0.3579,True,,Fifteen percent of two hundred is **30**.,9,44,0.3569,0.1709
anthropic-claude-haiku-4-5,percent_15_of_200,2,1.0394,0.709,0.0008,0.3284,0.8058,True,,Fifteen percent of two hundred is **30**. (200 × 0.15 = 30),15,32,0.709,0.1771
inception-mercury-2,leap_february,2,0.6227,0.4207,0.0025,0.1983,0.4228,True,,February has **29 days** in a leap year.,11,52,0.4207,0.1971
anthropic-claude-haiku-4-5,leap_february,2,0.8699,0.5567,0.1173,0.1943,0.6754,True,,There are 29 days in February in a leap year.,18,17,0.5566,0.1855
inception-mercury-2,capital_france,3,0.4497,0.2634,0.0007,0.1842,0.265,True,,The capital of France is **Paris**.,9,38,0.2632,0.1826
anthropic-claude-haiku-4-5,capital_france,3,0.9632,0.6191,0.0007,0.342,0.6587,True,,The capital of France is Paris.,14,14,0.6191,0.2942
inception-mercury-2,capital_japan,3,0.4795,0.2796,0.0008,0.1976,0.2814,True,,The capital of Japan is **Tokyo**.,10,40,0.2794,0.1955
anthropic-claude-haiku-4-5,capital_japan,3,1.0025,0.5784,0.0022,0.4203,0.8053,True,,The capital of Japan is Tokyo. It's the country's largest city and has been the capital since 1868.,14,31,0.5783,0.1965
inception-mercury-2,cm_in_2m,3,0.5041,0.2967,0.0023,0.2036,0.2997,True,,There are **200 centimeters** in two meters.,10,44,0.2966,0.2025
anthropic-claude-haiku-4-5,cm_in_2m,3,1.2124,0.6812,0.3254,0.2043,1.0202,True,,"There are 200 centimeters in two meters. (Since 1 meter = 100 centimeters, 2 meters = 2 × 100 = 200 centimeters)",17,51,0.6811,0.1924
inception-mercury-2,add_17_26,3,0.4745,0.2927,0.0054,0.1752,0.2938,True,,Seventeen plus twenty‑six equals **43**.,8,38,0.2931,0.1741
anthropic-claude-haiku-4-5,add_17_26,3,0.9815,0.6756,0.0007,0.3037,0.7097,True,,17 + 26 = 43,14,17,0.6755,0.2205
inception-mercury-2,minutes_in_3h,3,0.5038,0.3175,0.0119,0.1731,0.321,True,,There are 180 minutes in three hours.,11,43,0.3177,0.17
anthropic-claude-haiku-4-5,minutes_in_3h,3,1.2236,0.6317,0.3702,0.2203,1.0031,True,,There are 180 minutes in three hours. (3 hours × 60 minutes per hour = 180 minutes),15,32,0.6317,0.1779
inception-mercury-2,day_after_monday_3,3,0.6352,0.3662,0.0007,0.2676,0.3671,True,,Three days after Monday is **Thursday**.,13,42,0.3662,0.2608
anthropic-claude-haiku-4-5,day_after_monday_3,3,1.4068,0.9264,0.1045,0.3744,1.2268,True,,"If today is Monday, then in three days it will be **Thursday**. Monday → Tuesday (1 day) → Wednesday (2 days) → Thursday (3 days)",20,42,0.9263,0.1704
inception-mercury-2,percent_15_of_200,3,0.5005,0.299,0.0013,0.1979,0.3021,True,,Fifteen percent of two hundred is **30**.,11,48,0.2988,0.1955
anthropic-claude-haiku-4-5,percent_15_of_200,3,1.2206,0.8685,0.0008,0.3501,1.0332,True,,Fifteen percent of two hundred is **30**. (200 × 0.15 = 30),15,32,0.8684,0.1782
inception-mercury-2,leap_february,3,0.5306,0.353,0.0012,0.1753,0.3548,True,,February has 29 days in a leap year.,11,83,0.3528,0.171
anthropic-claude-haiku-4-5,leap_february,3,0.9862,0.673,0.0095,0.3019,0.776,True,,There are 29 days in February in a leap year.,18,17,0.6729,0.1889
inception-mercury-2,capital_france,1,1.0371,0.618,0.0015,0.4166,0.6198,True,,The capital of France is **Paris**.,9,39,0.6179,0.2014
anthropic-claude-haiku-4-5,capital_france,1,1.0653,0.6131,0.0006,0.451,0.6426,True,,The capital of France is Paris.,14,14,0.6131,0.2556
inception-mercury-2,capital_japan,1,0.4239,0.213,0.0032,0.207,0.2136,True,,The capital of Japan is **Tokyo**.,10,42,0.2131,0.2061
anthropic-claude-haiku-4-5,capital_japan,1,0.8294,0.5222,0.0003,0.3062,0.6078,True,,The capital of Japan is Tokyo. It's the country's largest city and has been the capital since 1868.,14,35,0.5222,0.2204
inception-mercury-2,cm_in_2m,1,0.4547,0.2763,0.0004,0.1774,0.277,True,,There are **200 centimeters** in two meters.,10,36,0.2762,0.1759
